1550 5979
152906 154119
155648 158646
164814 165200
28755 30009
39141 39986
134247 134756
226221 226721
242076 242511
307204 307935
307698 307935
387501 388087
397153 398664
630598 630884
30898 31839
40453 41269
83436 83652
83860 89103
123184 124134
126502 127414
131690 132113
165440 165973
300361 300976
58681 61005
95876 96736
107066 107551
194152 195397
284833 285981
412842 413476
416593 416817
469723 470759
587225 587835
594619 595293
596016 596788
683696 684159
800892 801520
1158760 1159590
1240173 1240646
1280442 1280750
1323094 1324185
1371848 1372079
1383358 1383609
1406540 1408362
1433749 1436429
63333 64014
94794 95112
155203 155783
253164 254254
292450 292735
293387 293746
362279 363828
439544 440141
454112 454632
554084 555672
558577 560501
5345 6221
79510 80364
150926 151214
175400 176055
179840 180755
198173 198846
235283 236198
323414 323941
343035 344407
353686 354139
356519 356906
396589 398932
399337 399758
453089 453316
467709 468546
484780 485234
613849 614278
649776 651321
766908 768251
67462 67874
89268 90612
105389 105607
282110 282498
322027 322326
413290 414320
542988 543253
552514 552782
553115 555865
581318 582573
587163 587554
622364 627684
106010 106969
113917 114226
214444 215211
358786 359553
4642 5295
46211 47219
109983 111963
206346 207167
291324 292469
299077 300227
361046 362641
363598 364627
404646 406581
417722 418247
11526 12064
73745 75755
137233 137911
153874 155070
195329 195861
509961 510231
510771 513183
532028 532816
597070 597867
69217 69424
121760 123195
205594 205894
288902 289166
300035 300901
366738 366964
434924 437389
503619 504432
541553 542676
605887 608890
615945 616286
633878 636924
641494 643645
10006 11527
14101 14991
155337 155835
185575 186318
243966 244729
353878 354166
372071 374598
431490 432827
433920 434739
469617 470256
650455 651386
756601 757018
761686 762272
957677 958416
970622 971940
991401 993690
995111 997029
9939 10753
63874 64154
88898 89468
121216 122155
248145 248582
276110 278459
315427 315875
337834 338395
358943 360278
484537 485035
487614 487922
532750 533745
534463 535420
716303 717075
752980 753206
789746 790159
819845 820210
7311 7790
80715 81733
310407 311223
345404 345885
533724 534917
673889 674353
726703 728503
0 597
0 2463
4446 5181
91415 91693
221008 221253
248057 248830
267987 268598
620763 621754
626894 627472
629137 630007
634271 634884
816569 817315
919337 919661
964438 966013
2900 3988
174748 175974
319294 319649
326566 326969
436949 437228
462516 465663
467233 467817
530784 531515
621911 622129
647612 648741
657940 658693
672265 673092
682182 682409
716093 717097
741898 742134
791781 792113
2283 2734
10446 11448
0 818
3050 4250
0 353
10801 11867
6297 6629
3315 4413
770 6314
0 4619
3917 4152
0 2874
1585 2435
0 2272
0 1766
285 1404
5 1078
0 982
332 967
3 896
17 816
10 815
1 799
23 768
0 755
0 607
2 603
0 585
0 555
0 333
1 542
74 508
0 500
