121529 122579
179563 180043
314519 316481
347805 351601
446379 447425
446769 447425
712541 713239
150723 151973
198229 198892
294320 296420
198175 198565
206551 208943
313920 314297
472982 473801
493837 494060
826391 827040
826627 827040
889959 891023
1100676 1101968
1412060 1412723
13261 14187
142019 142492
296040 297581
443509 444064
448937 449909
284465 284979
391717 392686
412713 413962
69133 69753
95380 96134
112721 113012
113376 113633
366185 367014
111906 114449
57554 58450
347890 349107
529196 529883
58288 58811
126993 127693
148216 149224
294332 295347
479179 480246
75958 77130
735010 735590
281599 282361
486900 487491
32759 33926
422252 422863
206289 207508
403992 404623
620304 620642
164701 165746
500259 500933
654195 654505
721009 721432
745903 749228
0 2273
314 1707
25 631
1 533
